"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"97",1414769742685,"old",FALSE,"B",NA,3520,FALSE,0,0,1,0,1,"0010",7,"opt-total","05"
"98",1414769746967,"old",FALSE,"B",NA,3325,FALSE,1,0,1,1,2,"1011",7,"opt-total","05"
"99",1414769751051,"old",TRUE,"B",FALSE,1476,TRUE,0,0,1,1,3,"0011",7,"opt-total","05"
"100",1414769753284,"old",FALSE,"B",NA,1411,FALSE,0,1,1,1,4,"0111",7,"opt-total","05"
"101",1414769755448,"old",TRUE,"B",TRUE,2019,TRUE,1,0,0,0,5,"1000",7,"opt-total","05"
"102",1414769758239,"new",TRUE,"B",NA,3462,FALSE,1,1,0,1,6,"1101",7,"opt-total","05"
"103",1414769762472,"old",TRUE,"A",TRUE,1516,TRUE,1,1,0,0,7,"1100",7,"opt-total","05"
"104",1414769764741,"old",TRUE,"A",TRUE,1616,TRUE,1,1,1,0,8,"1110",7,"opt-total","05"
"105",1414769767119,"new",TRUE,"B",NA,2158,FALSE,0,1,0,1,9,"0101",7,"opt-total","05"
"106",1414769770028,"old",TRUE,"A",TRUE,2184,TRUE,0,0,0,1,10,"0001",7,"opt-total","05"
"107",1414769772972,"old",TRUE,"B",TRUE,1760,TRUE,1,0,1,0,11,"1010",7,"opt-total","05"
"108",1414769775490,"old",FALSE,"A",NA,1946,FALSE,0,0,0,0,12,"0000",7,"opt-total","05"
"109",1414769778197,"old",TRUE,"B",TRUE,1427,TRUE,0,1,0,0,13,"0100",7,"opt-total","05"
"110",1414769780395,"old",TRUE,"B",TRUE,1709,TRUE,0,1,1,0,14,"0110",7,"opt-total","05"
"111",1414769782860,"old",TRUE,"A",TRUE,1564,TRUE,1,1,1,1,15,"1111",7,"opt-total","05"
"112",1414769785174,"old",FALSE,"B",NA,1219,FALSE,1,0,0,1,16,"1001",7,"opt-total","05"
"113",1414759240075,"old",FALSE,"A",NA,3228,FALSE,0,1,0,1,1,"0101",8,"opt-total","05"
"114",1414759244056,"old",TRUE,"B",TRUE,1727,TRUE,1,0,1,0,2,"1010",8,"opt-total","05"
"115",1414759246534,"old",TRUE,"B",TRUE,1616,TRUE,0,1,0,0,3,"0100",8,"opt-total","05"
"116",1414759248902,"old",TRUE,"B",TRUE,1251,TRUE,0,1,1,0,4,"0110",8,"opt-total","05"
"117",1414759250905,"old",TRUE,"B",FALSE,1045,TRUE,1,1,1,0,5,"1110",8,"opt-total","05"
"118",1414759252701,"old",FALSE,"B",NA,1457,FALSE,0,0,1,0,6,"0010",8,"opt-total","05"
"119",1414759254910,"old",FALSE,"A",NA,1105,FALSE,0,1,1,1,7,"0111",8,"opt-total","05"
"120",1414759256769,"old",FALSE,"A",NA,989,FALSE,1,0,1,1,8,"1011",8,"opt-total","05"
"121",1414759258509,"old",TRUE,"A",TRUE,1137,TRUE,0,0,1,1,9,"0011",8,"opt-total","05"
"122",1414759260397,"old",FALSE,"B",NA,1225,FALSE,0,0,0,0,10,"0000",8,"opt-total","05"
"123",1414759262375,"old",TRUE,"B",FALSE,1143,TRUE,1,1,0,0,11,"1100",8,"opt-total","05"
"124",1414759264269,"old",FALSE,"A",NA,3601,FALSE,1,1,0,1,12,"1101",8,"opt-total","05"
"125",1414759268622,"old",TRUE,"A",TRUE,1423,TRUE,1,1,1,1,13,"1111",8,"opt-total","05"
"126",1414759270797,"old",FALSE,"A",NA,1088,FALSE,1,0,0,1,14,"1001",8,"opt-total","05"
"127",1414759272637,"old",TRUE,"B",TRUE,1081,TRUE,1,0,0,0,15,"1000",8,"opt-total","05"
"128",1414759274470,"old",TRUE,"A",TRUE,1344,TRUE,0,0,0,1,16,"0001",8,"opt-total","05"
"129",1414759337230,"old",FALSE,"A",NA,2901,FALSE,1,0,0,1,1,"1001",9,"opt-total","05"
"130",1414759340889,"old",TRUE,"A",FALSE,1969,TRUE,0,1,0,0,2,"0100",9,"opt-total","05"
