"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1042",1415024228652,"old",FALSE,"A",NA,4801,FALSE,1,0,0,0,2,"1000",66,"ms","05"
"1043",1415024234204,"old",TRUE,"A",TRUE,6162,TRUE,1,1,1,0,3,"1110",66,"ms","05"
"1044",1415024241120,"old",TRUE,"A",TRUE,5890,TRUE,1,1,0,1,4,"1101",66,"ms","05"
"1045",1415024247763,"old",FALSE,"A",NA,5425,FALSE,1,1,1,1,5,"1111",66,"ms","05"
"1046",1415024253943,"old",FALSE,"B",NA,5383,FALSE,0,1,0,1,6,"0101",66,"ms","05"
"1047",1415024260080,"old",TRUE,"B",TRUE,2988,TRUE,0,0,0,0,7,"0000",66,"ms","05"
"1048",1415024263820,"old",TRUE,"B",TRUE,5312,TRUE,1,1,0,0,8,"1100",66,"ms","05"
"1049",1415024269884,"old",TRUE,"B",TRUE,4480,TRUE,0,1,1,0,9,"0110",66,"ms","05"
"1050",1415024275115,"old",TRUE,"B",TRUE,2193,TRUE,0,0,0,1,10,"0001",66,"ms","05"
"1051",1415024278060,"old",TRUE,"A",TRUE,3159,TRUE,0,1,1,1,11,"0111",66,"ms","05"
"1052",1415024281971,"old",FALSE,"A",NA,3537,FALSE,1,0,0,1,12,"1001",66,"ms","05"
"1053",1415024286259,"old",FALSE,"B",NA,3512,FALSE,0,0,1,0,13,"0010",66,"ms","05"
"1054",1415024290523,"old",FALSE,"B",NA,2520,FALSE,0,0,1,1,14,"0011",66,"ms","05"
"1055",1415024293795,"old",TRUE,"A",TRUE,2528,TRUE,1,0,1,0,15,"1010",66,"ms","05"
"1056",1415024297074,"old",FALSE,"B",NA,3945,FALSE,0,1,0,0,16,"0100",66,"ms","05"
"1057",1415024391521,"old",FALSE,"B",NA,5380,FALSE,1,1,1,1,1,"1111",67,"ms","05"
"1058",1415024397666,"old",FALSE,"A",NA,2871,FALSE,0,1,0,0,2,"0100",67,"ms","05"
"1059",1415024401292,"old",TRUE,"A",FALSE,2544,TRUE,1,1,0,0,3,"1100",67,"ms","05"
"1060",1415024404606,"old",TRUE,"A",TRUE,2667,TRUE,1,1,1,0,4,"1110",67,"ms","05"
"1061",1415024408043,"old",FALSE,"B",NA,2311,FALSE,0,1,0,1,5,"0101",67,"ms","05"
"1062",1415024411121,"old",FALSE,"B",NA,6333,FALSE,1,0,0,0,6,"1000",67,"ms","05"
"1063",1415024418221,"old",TRUE,"A",TRUE,2551,TRUE,1,0,1,1,7,"1011",67,"ms","05"
"1064",1415024421532,"old",FALSE,"B",NA,2304,FALSE,1,0,0,1,8,"1001",67,"ms","05"
"1065",1415024424595,"old",TRUE,"A",TRUE,2662,TRUE,0,1,1,1,9,"0111",67,"ms","05"
"1066",1415024428024,"old",TRUE,"B",FALSE,3195,TRUE,1,0,1,0,10,"1010",67,"ms","05"
"1067",1415024431975,"old",TRUE,"A",FALSE,2110,TRUE,0,1,1,0,11,"0110",67,"ms","05"
"1068",1415024434852,"old",TRUE,"B",FALSE,2398,TRUE,1,1,0,1,12,"1101",67,"ms","05"
"1069",1415024438012,"old",TRUE,"A",FALSE,2970,TRUE,0,0,0,0,13,"0000",67,"ms","05"
"1070",1415024441748,"old",FALSE,"A",NA,2187,FALSE,0,0,1,0,14,"0010",67,"ms","05"
"1071",1415024444701,"old",TRUE,"B",TRUE,3015,TRUE,0,0,0,1,15,"0001",67,"ms","05"
"1072",1415024448487,"old",FALSE,"B",NA,2347,FALSE,0,0,1,1,16,"0011",67,"ms","05"
"1073",1415024303828,"old",TRUE,"B",TRUE,5217,TRUE,0,0,0,0,1,"0000",68,"ms","05"
"1074",1415024309799,"old",TRUE,"B",TRUE,5654,TRUE,0,1,1,0,2,"0110",68,"ms","05"
"1075",1415024316206,"old",FALSE,"A",NA,2608,FALSE,1,0,0,1,3,"1001",68,"ms","05"
"1076",1415024319566,"old",TRUE,"A",TRUE,2732,TRUE,1,1,0,1,4,"1101",68,"ms","05"
"1077",1415024323051,"old",TRUE,"A",TRUE,2858,TRUE,1,0,1,0,5,"1010",68,"ms","05"
